result_page_item_position_index	result_page_number	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
29	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Modelo Especial Mexican Lager Beer, 24 pk 12 fl oz Cans, 4.4% ABV"				In-store purchase only	4.5	N
30	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob ULTRA Light Beer, 12 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	4.5	N
31	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob ULTRA Light Beer, 18 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
32	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Natural Ice Beer, 30 Pack 12 fl. oz. Cans, 5.9% ABV"				In-store purchase only	0	N
33	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob Ultra Pure Gold Organic Light Lager, 12 Pack Beer, 12 FL OZ Cans"				In-store purchase only	5	N
34	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob ULTRA Light Beer, 12 Pack Beer, 16 FL OZ Bottles, 4.2% ABV"				In-store purchase only	5	N
35	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 18 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
36	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 18 Pack Beer, 12 FL OZ Bottles"				In-store purchase only	5	N
37	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Stella Artois Lager, 18 Pack Beer - 11.2 FL OZ Bottles, 5% ABV"				In-store purchase only	4.5	N
38	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 20 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4.5	N
39	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Miller Lite Lager Beer, Light Beer, Beer 18 Pack, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	5	N
0	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Michelob ULTRA Light Beer, 12 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4.5	N
1	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Modelo Especial Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.4% ABV"				In-store purchase only	5	N
2	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Michelob ULTRA Infusions Lime & Prickly Pear Cactus Light Beer, 6 Pack Beer, 12 FL OZ Bottles, 4% ABV"				In-store purchase only	0	N
3	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Tecate Light Mexican Beer, 30 pack, 12 fl oz cans"				In-store purchase only	0	N
4	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Banquet Lager Beer, Beer 18 Pack, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	5	N
5	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 18 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	0	N
6	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Heineken Lager Beer, 24 pack, 12 fl oz"				In-store purchase only	5	N
7	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Blue Moon Light Sky Wheat Beer, Craft Beer, Beer 6 Pack, 12 FL OZ Cans, 4% ABV"				In-store purchase only	3.5	N
8	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Corona Premier Mexican Lager Light Beer, 12 pk 12 fl oz Bottles, 4.0% ABV"				In-store purchase only	4.5	N
9	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Miller Genuine Draft Beer, American Lager, 12 Pack Beer, 12 fl. oz. Bottles, 4.6% ABV"				In-store purchase only	5	N
10	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Busch Light Beer, 12 Pack Beer, 12 FL OZ Cans, 4.1% ABV"				In-store purchase only	0	N
11	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Natural Light Naturdays Light Beer, 30 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
12	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Miller Genuine Draft Beer, American Lager, 18 Pack Beer, 12 fl. oz. Bottles, 4.6% ABV"				In-store purchase only	5	N
13	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Michelob Ultra Pure Gold Organic Light Lager, 6 Pack Beer, 12 FL OZ Bottles"				In-store purchase only	5	N
14	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 15 Pack Beer, 16 FL OZ Bottles, 4.2% ABV"				In-store purchase only	5	N
15	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Blue Moon Belgian White Wheat Beer, Craft Beer, Beer 6 Pack, 12 FL OZ Bottles, 5.4% ABV"				In-store purchase only	0	N
16	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Michelob ULTRA Light Beer, 6 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4.5	N
17	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Modelo Especial Mexican Lager Beer, 18 pk 12 fl oz Cans, 4.4% ABV"				In-store purchase only	4	N
18	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Bud Light Platinum Beer, 18 Pack 12 fl. oz. Slim Cans, 6% ABV"				In-store purchase only	0	N
19	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Miller Lite Lager Beer, Light Beer, Beer 12 Pack, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	0	N
20	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 12 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	4.5	N
21	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Modelo Negra Mexican Amber Lager Beer, 12 pk 12 fl oz Bottles, 5.4% ABV"				In-store purchase only	4.5	N
22	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Pacifico Clara Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.4% ABV"				In-store purchase only	5	N
23	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Blue Moon Belgian White Wheat Beer, Craft Beer, Beer 12 Pack, 12 FL OZ Bottles, 5.4% ABV"				In-store purchase only	4.5	N
24	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Mug Root Beer, 2 Liter Bottle"	$1.25	$1.25	Free pickup today	Pickup Only	4.5	N
25	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Blue Moon Belgian White Wheat Beer, Craft Beer, Beer 15 Pack, 12 FL OZ Cans, 5.4% ABV"				In-store purchase only	5	N
26	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Bud Light Beer, 6 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	0	N
27	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Corona Extra Coronita Mexican Lager Beer, 6 pk 7 fl oz Bottles, 4.6% ABV"				In-store purchase only	5	N
28	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 18 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	5	N
29	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Corona Light Mexican Lager Beer, 12 pk 12 fl oz Cans, 4.0% ABV"				In-store purchase only	5	N
30	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Modelo Negra Mexican Amber Lager Beer, 6 pk 12 fl oz Bottles, 5.4% ABV"				In-store purchase only	5	N
31	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Foster's Ale Beer, 25.4 fl. oz. Beer Can, 5% ABV"				In-store purchase only	5	N
32	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Budweiser Beer, 24 Pack Beer, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	5	N
33	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Budweiser Beer, 12 Pack Beer, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	0	N
34	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Pabst Blue Ribbon Beer, 6 ct"				In-store purchase only	5	N
35	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Stella Artois Lager, 12 Pack Beer, 11.2 FL OZ Cans, 5% ABV"				In-store purchase only	5	N
36	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 9 Pack Beer, 16 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4	N
37	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Corona Premier Mexican Lager Light Beer, 18 pk 12 fl oz Bottles, 4.0% ABV"				In-store purchase only	0	N
38	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Budweiser Beer, 18 Pack Beer, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	0	N
39	2	beer	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=beer	"Budweiser Beer, 18 Pack Beer, 12 FL OZ Cans, 5% ABV"				In-store purchase only	0	N
0	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Rolling Rock Extra Pale Beer, 12 Pack 12 fl. oz. Bottles, 4.6% ABV"				In-store purchase only	5	N
1	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Busch Non Alcoholic Beer, 12 Pack Beer, 12 FL OZ Cans"				In-store purchase only	4	N
2	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Elysian Space Dust IPA Craft Beer, India Pale Ale, 6 Pack Beer, 12 FL OZ Bottles, 8.2% ABV"				In-store purchase only	3	N
3	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Shock Top Belgian White Wheat Beer, 15 Pack Beer, 12 FL OZ Cans, 5.2% ABV"				In-store purchase only	5	N
4	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Orange Beer, 12 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	5	N
5	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Miller Lite Lager Beer, Light Beer, Beer 6 Pack, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	0	N
6	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Lime Beer, 12 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	0	N
7	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Miller High Life American Lager Beer, Beer 12 Pack, 12 FL OZ Bottles, 4.6% ABV"				In-store purchase only	5	N
8	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Shock Top Belgian White Wheat Beer, 6 Pack Beer, 12 FL OZ Bottles, 5.2% ABV"				In-store purchase only	0	N
9	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Platinum Beer, 12 Pack Beer, 12 FL OZ Bottles, 6% ABV"				In-store purchase only	5	N
10	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Corona Familiar Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.8% ABV"				In-store purchase only	4	N
11	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 6 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	0	N
12	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Modelo Especial Mexican Lager Beer, 12 pk 12 fl oz Cans, 4.4% ABV"				In-store purchase only	5	N
13	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Blue Moon Mango Wheat Beer, Craft Beer, Beer 6 Pack , 12 FL OZ Bottles, 5.4% ABV"				In-store purchase only	0	N
14	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Platinum Beer, 6 Pack Beer, 12 FL OZ Bottles, 6% ABV"				In-store purchase only	4.5	N
15	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Corona Premier Mexican Lager Light Beer, 6 pk 12 fl oz Bottles, 4.0% ABV"				In-store purchase only	3	N
16	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Goya Jamaican Style Ginger Beer, 12.0 FL Oz"	$78.93	$78.93	Sold & shipped by AMI Ventures Inc Free delivery		4.5	N
17	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Budweiser Beer, 6 Pack Beer, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	5	N
18	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Corona Extra Mexican Lager Beer, 6 pk 12 fl oz Bottles, 4.6% ABV"				In-store purchase only	4.5	N
19	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Elysian Contact Haze Hazy IPA Craft Beer, 6 Pack Beer, 12 FL OZ Cans, 6% ABV"				In-store purchase only	4.5	N
20	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Lime, Lemonade & Orange Beer Variety Pack, 12 Pack Beer, 12 FL OZ Cans, 5% ABV"				In-store purchase only	5	N
21	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Orange Beer, 6 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	3	N
22	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"White Claw Variety Pack, 12 Pack, 12 oz Cans"				In-store purchase only	3.5	N
23	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Great Value Ginger Ale, 12 fl oz, 12 count"	$2.28	$2.28	Free pickup today	Pickup Only	4.5	N
24	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Keystone Light Beer, Lager Beer, 30 Pack Beer, 12 FL OZ Cans, 4.1% ABV"				In-store purchase only	0	Y
25	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Stewart's Fountain Classics Real Sugar Root Beer, 12 Fl. Oz., 4 Count"	$2.82	$2.82	Free pickup today	Pickup Only	4.5	N
26	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"TRULY Hard Seltzer Berry Variety, 12pk, 12oz beer white cans, Gluten Free, Light"				In-store purchase only	4	Y
27	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Pabst Blue Ribbon Beer, 30 pack, 12 fl oz"				In-store purchase only	5	N
28	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Michelob ULTRA Infusions Lime & Prickly Pear Cactus Light Beer, 12 Pack Beer, 12 FL OZ Bottles, 4% ABV"				In-store purchase only	5	N
29	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Twisted Tea Original Hard Iced, 12 pack beer cans, 12 fl oz"				In-store purchase only	4	N
30	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Busch Beer, 30 Pack Beer, 12 FL OZ Cans, 4.3% ABV"				In-store purchase only	5	N
31	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Beer, 20 Pack Beer, 16 FL OZ Bottles, 4.2% ABV"				In-store purchase only	3.5	N
32	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Corona Extra Coronita Mexican Lager Beer, 24 pk 7 fl oz Bottles, 4.6% ABV"				In-store purchase only	4.5	N
33	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Coors Banquet Lager Beer, Beer 12 Pack, 12 FL OZ Cans, 5% ABV"				In-store purchase only	5	N
34	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Blue Moon Light Sky Wheat Beer, Craft Beer, Beer 12 Pack, 12 FL OZ Cans, 4% ABV"				In-store purchase only	5	N
35	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Beer, 12 Pack Beer, 16 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4	N
36	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Cerveza Dos Equis Ambar Lager Mexican Beer, 12-Pack 12 Oz. Bottles"	$12.97	$12.97			5	N
37	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Modelo Especial Mexican Lager Beer, 3 pk 24 fl oz Cans, 4.4% ABV"				In-store purchase only	4	N
38	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Redd's Hard Apple Ale Beer, 6 Pack, 12 fl. oz. Bottles, 5% ABV"				In-store purchase only	5	N
39	3	beer	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=beer	"Bud Light Beer, 24 Pack 10 fl. oz. Cans, 4.2% ABV"				Out of stock	5	N
0	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Miller Lite Lager Beer, Light Beer, Beer 18 Pack, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
1	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Kona Brewing Co. Island Hopper Beer Variety Pack, 12 Pack Beer, 12 FL OZ Bottles"				In-store purchase only	0	N
2	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Corona Premier Mexican Lager Light Beer, 12 pk 12 fl oz Cans, 4.0% ABV"				In-store purchase only	4	N
3	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Samuel Adams Boston Lager Beer, 12 oz, 12 count"				In-store purchase only	5	N
4	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Bud Light Beer, 12 Pack Beer, 8 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
5	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Corona Light Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.0% ABV"				In-store purchase only	5	N
6	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Goose Island IPA Craft Beer, India Pale Ale, 6 Pack Beer, 12 FL OZ Bottles, 5.9% ABV"				In-store purchase only	4.5	N
7	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Beck's Pilsner Beer, 12 Pack 12 fl. oz. Bottles, 4.8% ABV"				In-store purchase only	5	N
8	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Natural Ice Beer, 15 Pack Beer, 12 FL OZ Cans, 5.9% ABV"				In-store purchase only	5	N
9	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Miller Genuine Draft Beer, American Lager, 30 Pack Beer, 12 fl. oz. Cans, 4.6% ABV"				In-store purchase only	5	N
10	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Modelo Especial Modelito Mexican Lager Beer, 24 pk 7 fl oz Bottles, 4.4% ABV"				In-store purchase only	5	N
11	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Coors Light Beer, Light Lager Beer, 12 Pack Beer, 8 FL OZ Cans, 4.2% ABV"				In-store purchase only	3.5	N
12	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Coors Banquet Lager Beer, Beer 6 Pack, 12 FL OZ Bottles, 5% ABV"				In-store purchase only	0	N
13	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Stella Artois Lager, 24 Pack Beer - 11.2 FL OZ Bottles"				In-store purchase only	4.5	N
14	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Dos Equis Ambar Lager Beer, 6 pack, 12 fl oz bottles"				In-store purchase only	0	N
15	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Stone Beer Variety Pack, 12 pack, 12 fl oz"				In-store purchase only	0	N
16	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Corona Familiar Mexican Lager Beer, 24 pk 12 fl oz Bottles, 4.8% ABV"				In-store purchase only	5	N
17	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Elysian Space Dust IPA Craft Beer, India Pale Ale, 12 Pack Beer, 12 FL OZ Bottles, 8.2% ABV"				In-store purchase only	0	N
18	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Tecate Mexican Beer, 12 pack, 12 fl oz cans"				In-store purchase only	0	N
19	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Pabst Blue Ribbon Beer, 12 pack, 12 fl oz"				In-store purchase only	0	N
20	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Lagunitas Little Sumpin Beer, 12 pack, 12 fl oz Bottles"				In-store purchase only	5	N
21	4	beer	https://www.walmart.com/search/?cat_id=0&page=4&ps=40&query=beer	"Saint Archer Gold Light Lager Beer, Craft Beer, Beer 12 Pack, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
